file_name,title,organization,year,topic,official_url,pdf_url,rights_status,rights_evidence_url,download_date,document_id,relative_path,file_size_bytes,file_hash,pdf_valid,page_count,text_char_count,text_hash,audit_status,canonical_file_name,duplicate_of,error,source_dataset,source_url
000000024_wps35.pdf,wps35,OSHA and related agencies (not individually verified),,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,a5905aa5dba656fd,data/documents/osha/000000024_wps35.pdf,684288,a5905aa5dba656fd62e2a5f4ec91150db999974216fa59c5bf192796bf5f043d,true,1,2677,3392eead3ce8a7b98a15e45011e9caf6521d00e7d2309b5ba8214f64636c3760,canonical,000000024_wps35.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000072_2021-13266.pdf,2021 13266,OSHA and related agencies (not individually verified),2021,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,4b130e2a22f3e1a1,data/documents/osha/000000072_2021-13266.pdf,176357,4b130e2a22f3e1a10ebcc5fd21555de9f5c422b4c30f5681950b0f7c11c7bae9,true,1,6049,320dc9e771125d70b67e0be4d76b36ccb5c1c6f322e7015bfeb07893b8330c7e,canonical,000000072_2021-13266.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000072_2021-13267.pdf,2021 13267,OSHA and related agencies (not individually verified),2021,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,a7e03b9f80efb2ba,data/documents/osha/000000072_2021-13267.pdf,188239,a7e03b9f80efb2ba38000e73f2888d786e1f7f43edad0bbc5874178b5a9d5d7e,true,2,12254,c14ac5efb8dbafb036a50832966e693de46d4753f888f822511452ad1303060d,canonical,000000072_2021-13267.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000090_2024-20808.pdf,2024 20808,OSHA and related agencies (not individually verified),2024,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,94abce1937d0fb2f,data/documents/osha/000000090_2024-20808.pdf,222844,94abce1937d0fb2f5557f9972d43bd8e4ed19177f88fc53848c9684dad215301,true,2,13336,3a06a0c68d4f84c3540c97f44a285909f5267d96fcaac2d219e7bdc76b9d557d,canonical,000000090_2024-20808.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000105_2013-157.pdf,2013 157,OSHA and related agencies (not individually verified),2013,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,997dbdfbfa1d88d3,data/documents/osha/000000105_2013-157.pdf,299392,997dbdfbfa1d88d3e81d62f299a0417734343fae4761315c3e0e774b4e40d5e7,true,7,15592,77497d618d8adb0cea16fe1c7d0cbefcd7df700534593fa3013fe13e6d252368,canonical,000000105_2013-157.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000105_active_shooter_booklet.pdf,active shooter booklet,OSHA and related agencies (not individually verified),,Emergency preparedness,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,c823497479deccf8,data/documents/osha/000000105_active_shooter_booklet.pdf,1008180,c823497479deccf89317e89034cd91502305494da60ad13f4cb6f7dfec11665b,true,13,14341,3b78994a7ee55cb58fcd688661f851166b95f101ade3e4083402a867574f9d5f,canonical,000000105_active_shooter_booklet.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000105_amoe.pdf,amoe,OSHA and related agencies (not individually verified),,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,8f719ce7ee9aa18c,data/documents/osha/000000105_amoe.pdf,1749892,8f719ce7ee9aa18c9b063c518775a1bb073e074f9d3f50b29cfcb5bd3081111c,true,18,27805,7bd25d7eb8069bff5ad42668933982ad5e89ccba2770774db158b3b0e9cbb85a,canonical,000000105_amoe.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000105_fema453.pdf,fema453,OSHA and related agencies (not individually verified),,Emergency preparedness,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,794e4d0e890408aa,data/documents/osha/000000105_fema453.pdf,12670420,794e4d0e890408aa7bf2679dee3b8f22ccd1db6ef5d1321e8081e10d4e820c73,true,264,385281,f4967e3bb933a4e789cecf769e443385020b54493103edb75f0654c24bf63a81,canonical,000000105_fema453.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000105_fema_nrf_support-annex_worker-safety.pdf,fema nrf support annex worker safety,OSHA and related agencies (not individually verified),,Emergency preparedness,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,8bb56e5f82934d92,data/documents/osha/000000105_fema_nrf_support-annex_worker-safety.pdf,79786,8bb56e5f82934d92fcf07d37c1c40d8d9ac080f9577e363d1717721cbff803ee,true,8,22181,3b203e78060c18d18cc5c9ebf2d439ceebf413ab2a9decb9ff70773e5675c34a,canonical,000000105_fema_nrf_support-annex_worker-safety.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
000000105_ndrf.pdf,ndrf,OSHA and related agencies (not individually verified),,Other occupational safety,,,Not individually verified; Kaggle dataset license: Other (specified in description),https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf,2026-08-28,a888109851916475,data/documents/osha/000000105_ndrf.pdf,11053762,a888109851916475b0eb3a7ae09ccfecf60072a33293e29e593d7303d471cfc9,true,116,228924,927b802bcb09789a66fe9466801302550117b79f7fd097dd00a93844fb434cde,canonical,000000105_ndrf.pdf,,,Kaggle ALL_OSHA_PDF v1,https://www.kaggle.com/datasets/aminhaghiii/all-osha-pdf
