file_name,relative_path,size_bytes,file_sha256,text_sha256,pages,characters,average_characters_per_page,likely_scanned,extraction_status,error,duplicate_type,duplicate_of,canonical_document_id,file_hash_repetitions,text_hash_repetitions
000000204_EQ_preparedness_mitigation_guidance_state_offices.pdf,data\documents\osha\000000204_EQ_preparedness_mitigation_guidance_state_offices.pdf,1867997,a2e739fe314af071246dc7c81de4f24bc0fb1bb7a5cd39c7f1da30b1f61b1237,5cf15dea005ed86353337eb61a9d9b7f1903808507301a844f2aac44872f4da1,46,45558,990.39,False,ok,,,,b0869f64fc63bd5f,2,2
000000204_ShakeOutDrillManualBusinesses_v2.pdf,data\documents\osha\000000204_ShakeOutDrillManualBusinesses_v2.pdf,216509,f0af8ab6ba948e24991e3efb77065304d860ccb503ec0cb59e1e09830e9d0daf,ee81575c8f1c5013767ac2ecbc64518b6a0a4e3aa9a5b75c580447c2e567e368,11,34189,3108.09,False,ok,,,,bd2bf82d755e0d6d,2,2
000000204_SIM3325_sheet6.pdf,data\documents\osha\000000204_SIM3325_sheet6.pdf,10650858,208adab6a27f1f809ed7a5ba0f27d94ab7683c13a7d85fa13f6db819b2a7db16,fbd3f6b763540219d2cbf6372d645f37f2c3df7ea27dac0703eb1bdba796b432,1,6315,6315.0,False,ok,,,,269e279cf4d91886,2,2
000000210_Sanitation-Handout-SPANISH.pdf,data\documents\osha\000000210_Sanitation-Handout-SPANISH.pdf,216086,59323b7d853070058529d336be973a13e49649842d805266e33d6b34c24c39ed,74509681e67bd9e2ca626d8ab22893df6d3763915907feea9dddb6f65df7f9af,2,4679,2339.5,False,ok,,,,8cf7048060197605,2,2
000000210_Sanitation_Handout_for_Employees.pdf,data\documents\osha\000000210_Sanitation_Handout_for_Employees.pdf,343199,74c1a174018e2ae3566351c398d099eaa722c9b95b6213fe78e5238bd63b92d4,bb30e156dcd7029a868ec69fdfed5e38618f31b05d3e808a07632c0c829c7b23,2,3975,1987.5,False,ok,,,,7abcd63b79a85559,2,2
000000248_attachment_1.pdf,data\documents\osha\000000248_attachment_1.pdf,4413541,238c1e6fd6dd24083e12aec98111d12dcc4ff11bf6c5fe1b6756dbc5c0305e6f,f0910e3dfc1220161e9d0aa46a926200ec1b3afe4d3f2d5f1cb552f573a14df1,272,420917,1547.49,False,ok,,,,64947a4afbb4b121,2,2
000000248_attachment_10.pdf,data\documents\osha\000000248_attachment_10.pdf,4939118,a7792e8e936392d5e989b4e6064394821be280c5ce7874a6a9a35cf17734493a,56a8c45dce0d428741f4cf68df3305a054b33d37c41caa8d02d25681756f2753,294,460270,1565.54,False,ok,,,,0d7b5cf523f02a51,2,2
000000248_attachment_11.pdf,data\documents\osha\000000248_attachment_11.pdf,4858914,651102e38befff42428ed322beec8822bf88949193cd392eb0005a3ecaab40b1,03a2b67a099a7c5a064ec87a20b50af6dfa3b396bf3f84e566fc387d883717bb,285,445095,1561.74,False,ok,,,,7bd6b555a3a5f5b7,2,2
000000248_attachment_12.pdf,data\documents\osha\000000248_attachment_12.pdf,4745232,9f34621e7e72c6b0ab5fbe0e84c5612b41b8a776d9c2059d8065144bc45a8824,c9902a18eb243bfb44f7ba6ed1a81766ae99fddf3774f494533da7cee457a15e,276,431401,1563.05,False,ok,,,,92453adeb04c90f0,2,2
000000248_attachment_2.pdf,data\documents\osha\000000248_attachment_2.pdf,4824115,1221246386a94f025aec0c0cf526a9b4b7497070a15df8da5e52ebbd9db1ac94,417b35da76a5a92b2727d2f7057c0162b474df2191ed0cab46fb0e1c3b3a436c,296,461254,1558.29,False,ok,,,,0c7dce7f597dc82e,2,2
